SNO,FILENAME,TIME_TAKEN,DB_SIZE,AVG_TIME_TAKEN_PER_FILE,AVG_SPACE_TAKEN_PER_FILE
93,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_181.pdf,0.8021,0.4453,0.8083,0.0048
94,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_182.pdf,0.7966,0.4492,0.8082,0.0048
95,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_183.pdf,0.7757,0.4531,0.8078,0.0048
96,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_184.pdf,0.7509,0.457,0.8072,0.0048
97,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_185.pdf,0.7907,0.4648,0.8071,0.0048
98,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_186.pdf,0.7663,0.4688,0.8066,0.0048
99,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_187.pdf,0.7896,0.4727,0.8065,0.0048
100,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_188.pdf,0.7691,0.4766,0.8061,0.0048
101,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_189.pdf,0.7678,0.4805,0.8057,0.0048
102,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_19.pdf,0.7796,0.4844,0.8055,0.0047
103,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_190.pdf,0.8072,0.4883,0.8055,0.0047
104,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_191.pdf,0.7723,0.4922,0.8052,0.0047
105,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_192.pdf,0.7647,0.5,0.8048,0.0048
106,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_193.pdf,0.7673,0.5039,0.8044,0.0048
107,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_194.pdf,0.7891,0.5078,0.8043,0.0047
108,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_195.pdf,0.815,0.5117,0.8044,0.0047
109,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_196.pdf,0.7819,0.5156,0.8042,0.0047
110,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_197.pdf,0.8108,0.5195,0.8042,0.0047
111,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_198.pdf,0.7797,0.5234,0.804,0.0047
112,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_199.pdf,0.8301,0.5273,0.8042,0.0047
113,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_2.pdf,0.8495,0.5352,0.8046,0.0047
114,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_20.pdf,0.8823,0.5391,0.8053,0.0047
115,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_200.pdf,0.8292,0.543,0.8055,0.0047
116,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_201.pdf,0.8784,0.5469,0.8062,0.0047
117,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_202.pdf,0.8373,0.5508,0.8064,0.0047
118,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_203.pdf,0.846,0.5547,0.8068,0.0047
119,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_204.pdf,0.8235,0.5586,0.8069,0.0047
120,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_205.pdf,0.827,0.5625,0.8071,0.0047
121,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_206.pdf,0.8642,0.5703,0.8075,0.0047
122,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_207.pdf,0.8944,0.5742,0.8083,0.0047
123,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_208.pdf,0.9012,0.5781,0.809,0.0047
124,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_209.pdf,0.8646,0.582,0.8095,0.0047
125,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_21.pdf,0.8857,0.5859,0.8101,0.0047
126,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_210.pdf,0.8803,0.5938,0.8106,0.0047
127,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_211.pdf,0.8602,0.5977,0.811,0.0047
128,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_212.pdf,0.8572,0.6016,0.8114,0.0047
129,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_213.pdf,0.8353,0.6094,0.8116,0.0047
130,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_214.pdf,0.8398,0.6133,0.8118,0.0047
